"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"451","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","Medications",117772.773295891,39086.5044279354,310283.610720456
"452","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","Tests",35763.5909566512,11430.5341945424,102569.802446447
"453","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","Hospitalisation",2984.41639512323,1120.94765315091,6939.09414328857
"454","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","Deaths",55357.1825275367,481.142783708685,601807.711365295
"455","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","WTP",617536.864596281,233846.599645756,1422036.89382935
"456","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","WTPOngoing",0,0,0
"457","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","HumanCapital",4172097.22547752,1427679.16145293,10933415.7177119
"458","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","FrictionHigh",3337677.78038202,1142143.32916234,8746732.57416954
"459","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","FrictionLow",1251629.16764326,428303.748435879,3280024.71531358
"460","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","TotalHumanCapital",6302170.03211306,2346904.75067174,15246332.2485609
"461","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","TotalFrictionHigh",5460136.41323961,2051149.64618776,13079520.1746005
"462","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5","TotalFrictionLow",3347775.84520043,1289440.44608317,7752395.02018442
"463","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","GPSpecialist",3405811.30142091,1238510.03905673,8300448.00353625
"464","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","ED",10125026.6482503,3281056.67678256,28320522.1984851
"465","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","Medications",2430288.77364957,897446.277522792,5795503.17052796
"466","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","Tests",451459.44920808,142936.145679658,1300209.82465474
"467","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","Hospitalisation",40304.1268708338,15165.9404255232,93583.3013164767
"468","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","Deaths",1838973.82157571,580124.129090134,5258593.66702799
"469","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","WTP",7786506.69801804,2949290.85138319,17926923.622181
"470","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","WTPOngoing",0,0,0
"471","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","HumanCapital",79300939.5695596,29797859.5851162,185041633.631168
"472","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","FrictionHigh",63440751.6556477,23838287.6680929,148033306.904934
"473","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","FrictionLow",23790281.8708679,8939357.87553485,55512490.0893503
"474","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","TotalHumanCapital",106795451.936138,41743427.4147984,244549989.807628
"475","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","TotalFrictionHigh",90909728.9719808,35716047.9205804,207605639.042942
"476","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64","TotalFrictionLow",51163691.7273978,20626896.0297585,115495009.707874
"477","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","GPSpecialist",697143.069665713,253950.284663783,1685123.55483551
"478","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","ED",2074032.22250528,673923.007025632,5756473.37144346
"479","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","Medications",1044795.61045172,373898.823888089,2587384.60328471
"480","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","Tests",92404.6952717416,29374.9639856043,264920.070732332
"481","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","Hospitalisation",98815.5379870059,37146.3415404173,229541.535026594
"482","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","Deaths",693539.412779642,139869.322716944,2605190.91054836
"483","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","WTP",1593675.35777234,604877.509270348,3666197.23884333
"484","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","WTPOngoing",0,0,0
"485","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","HumanCapital",8571436.77123308,1796712.27703068,49415737.8925577
"486","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","FrictionHigh",6857149.41698647,1437369.82162454,39532590.3140462
"487","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","FrictionLow",2571431.03136993,539013.683109203,14824721.3677673
"488","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","TotalHumanCapital",16205033.4850106,5548088.43777415,60186025.7846194
"489","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","TotalFrictionHigh",14469032.6067352,5128994.61737953,50354221.7860392
"490","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+","TotalFrictionLow",9938413.68853077,3929595.23978475,26528354.9622254
"491","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","GPSpecialist",4411620.27170192,1631942.3455413,10482917.7176983
"492","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","ED",13318022.4004274,4615895.20341486,34812105.7151276
"493","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","Medications",3632173.27058869,1362905.6694915,8510537.23136892
"494","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","Tests",597488.489667302,204155.063761328,1587551.38204795
"495","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","Hospitalisation",149438.647857827,73664.5303838669,284156.297139607
"496","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","Deaths",2953893.74738637,1197250.21682321,6729317.06997214
"497","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","WTP",9997394.92954758,3788176.49187973,23014508.7611915
"498","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","WTPOngoing",0,0,0
"499","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","HumanCapital",95981231.597632,35710115.5773781,230403106.913644
"500","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","FrictionHigh",76784985.2781056,28568092.4619025,184322485.530915
"501","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","FrictionLow",28794369.4792896,10713034.6732134,69120932.0740932
"502","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","TotalHumanCapital",132477519.615871,51847606.6985469,308405976.542898
"503","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","TotalFrictionHigh",113244082.437328,44642325.8520023,262232873.530687
"504","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages","TotalFrictionLow",65160611.2497754,26605509.3492843,147278925.294374
"505","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","GPSpecialist",269681.426425547,98083.8349636398,654432.349949044
"506","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","ED",804177.419038122,260783.272183576,2235244.36369981
"507","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","Medications",117772.773295891,39086.5044279354,310283.610720456
"508","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","Tests",35763.5909566512,11430.5341945424,102569.802446447
"509","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","Hospitalisation",2984.41639512323,1120.94765315091,6939.09414328857
"510","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","Deaths",55357.1825275367,481.142783708685,601807.711365295
"511","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","WTP",617536.864596281,233846.599645756,1422036.89382935
"512","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","WTPOngoing",0,0,0
"513","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","HumanCapital",4172097.22547752,1427679.16145293,10933415.7177119
"514","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","FrictionHigh",3337677.78038202,1142143.32916234,8746732.57416954
"515","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","FrictionLow",1251629.16764326,428303.748435879,3280024.71531358
"516","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","TotalHumanCapital",6302170.03211306,2346904.75067174,15246332.2485609
"517","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","TotalFrictionHigh",5460136.41323961,2051149.64618776,13079520.1746005
"518","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5","TotalFrictionLow",3347775.84520043,1289440.44608317,7752395.02018442
"519","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","GPSpecialist",3405811.30142091,1238510.03905673,8300448.00353625
"520","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","ED",10125026.6482503,3281056.67678256,28320522.1984851
"521","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","Medications",2430288.77364957,897446.277522792,5795503.17052796
"522","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","Tests",451459.44920808,142936.145679658,1300209.82465474
"523","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","Hospitalisation",40304.1268708338,15165.9404255232,93583.3013164767
"524","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","Deaths",1838973.82157571,580124.129090134,5258593.66702799
"525","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","WTP",7786506.69801804,2949290.85138319,17926923.622181
"526","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","WTPOngoing",0,0,0
"527","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","HumanCapital",79300939.5695596,29797859.5851162,185041633.631168
"528","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","FrictionHigh",63440751.6556477,23838287.6680929,148033306.904934
"529","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","FrictionLow",23790281.8708679,8939357.87553485,55512490.0893503
"530","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","TotalHumanCapital",106795451.936138,41743427.4147984,244549989.807628
"531","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","TotalFrictionHigh",90909728.9719808,35716047.9205804,207605639.042942
"532","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64","TotalFrictionLow",51163691.7273978,20626896.0297585,115495009.707874
"533","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","GPSpecialist",697143.069665713,253950.284663783,1685123.55483551
"534","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","ED",2074032.22250528,673923.007025632,5756473.37144346
"535","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","Medications",1044795.61045172,373898.823888089,2587384.60328471
"536","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","Tests",92404.6952717416,29374.9639856043,264920.070732332
"537","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","Hospitalisation",98815.5379870059,37146.3415404173,229541.535026594
"538","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","Deaths",693539.412779642,139869.322716944,2605190.91054836
"539","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","WTP",1593675.35777234,604877.509270348,3666197.23884333
"540","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","WTPOngoing",0,0,0
"541","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","HumanCapital",8571436.77123308,1796712.27703068,49415737.8925577
"542","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","FrictionHigh",6857149.41698647,1437369.82162454,39532590.3140462
"543","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","FrictionLow",2571431.03136993,539013.683109203,14824721.3677673
"544","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","TotalHumanCapital",16205033.4850106,5548088.43777415,60186025.7846194
"545","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","TotalFrictionHigh",14469032.6067352,5128994.61737953,50354221.7860392
"546","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+","TotalFrictionLow",9938413.68853077,3929595.23978475,26528354.9622254
"547","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","GPSpecialist",4411620.27170192,1631942.3455413,10482917.7176983
"548","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","ED",13318022.4004274,4615895.20341486,34812105.7151276
"549","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","Medications",3632173.27058869,1362905.6694915,8510537.23136892
"550","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","Tests",597488.489667302,204155.063761328,1587551.38204795
"551","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","Hospitalisation",149438.647857827,73664.5303838669,284156.297139607
"552","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","Deaths",2953893.74738637,1197250.21682321,6729317.06997214
"553","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","WTP",9997394.92954758,3788176.49187973,23014508.7611915
"554","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","WTPOngoing",0,0,0
"555","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","HumanCapital",95981231.597632,35710115.5773781,230403106.913644
"556","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","FrictionHigh",76784985.2781056,28568092.4619025,184322485.530915
"557","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","FrictionLow",28794369.4792896,10713034.6732134,69120932.0740932
"558","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","TotalHumanCapital",132477519.615871,51847606.6985469,308405976.542898
"559","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","TotalFrictionHigh",113244082.437328,44642325.8520023,262232873.530687
"560","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages","TotalFrictionLow",65160611.2497754,26605509.3492843,147278925.294374
"561","Campylobacter","Campylobacteriosis","<5","GPSpecialist",363291.002762104,199225.568342313,648926.194112552
"562","Campylobacter","Campylobacteriosis","<5","ED",1097422.67069745,497952.087338887,2295884.76520957
"563","Campylobacter","Campylobacteriosis","<5","Medications",161398.202394553,75030.8190049256,313792.717020748
"564","Campylobacter","Campylobacteriosis","<5","Tests",216039.96,216039.96,216039.96
"565","Campylobacter","Campylobacteriosis","<5","Hospitalisation",503314.286071002,334256.854569027,701131.398901293
"566","Campylobacter","Campylobacteriosis","<5","Deaths",1219675.16988716,226327.897304297,3889322.9626299
"567","Campylobacter","Campylobacteriosis","<5","WTP",3591610.7333793,2191443.05007644,5874149.16911574
"568","Campylobacter","Campylobacteriosis","<5","WTPOngoing",0,0,0
"569","Campylobacter","Campylobacteriosis","<5","HumanCapital",5662896.45443032,2866097.18169047,11289410.8439296
"570","Campylobacter","Campylobacteriosis","<5","FrictionHigh",4530317.16354426,2292877.74535238,9031528.67514367
"571","Campylobacter","Campylobacteriosis","<5","FrictionLow",1698868.9363291,859829.154507142,3386823.25317888
"572","Campylobacter","Campylobacteriosis","<5","TotalHumanCapital",13324177.58744,8259298.62301553,21813661.3108802
"573","Campylobacter","Campylobacteriosis","<5","TotalFrictionHigh",12181603.5152846,7620353.81577117,19666521.8148652
"574","Campylobacter","Campylobacteriosis","<5","TotalFrictionLow",9277484.62597379,5950979.46292135,14522760.2466943
"575","Campylobacter","Campylobacteriosis","5-64","GPSpecialist",2612324.28576158,1433347.06698553,4643067.96673276
"576","Campylobacter","Campylobacteriosis","5-64","ED",7895579.04345885,3587665.67670734,16549839.8788936
"577","Campylobacter","Campylobacteriosis","5-64","Medications",1858828.48780369,1052803.19588217,3258201.36459357
"578","Campylobacter","Campylobacteriosis","5-64","Tests",1552226.04,1552226.04,1552226.04
"579","Campylobacter","Campylobacteriosis","5-64","Hospitalisation",6095936.18470763,4044387.18560638,8470706.03795381
"580","Campylobacter","Campylobacteriosis","5-64","Deaths",6572401.85390506,3119757.76642044,12548120.9529249
"581","Campylobacter","Campylobacteriosis","5-64","WTP",25911360.8077896,15856286.5559225,42330038.190514
"582","Campylobacter","Campylobacteriosis","5-64","WTPOngoing",0,0,0
"583","Campylobacter","Campylobacteriosis","5-64","HumanCapital",61510861.2023825,36662123.0656875,103852321.71568
"584","Campylobacter","Campylobacteriosis","5-64","FrictionHigh",49208688.961906,29329698.45255,83081857.3725438
"585","Campylobacter","Campylobacteriosis","5-64","FrictionLow",18453258.3607147,10998636.9197062,31155696.5147039
"586","Campylobacter","Campylobacteriosis","5-64","TotalHumanCapital",115139905.219626,75085513.9854581,181343022.007888
"587","Campylobacter","Campylobacteriosis","5-64","TotalFrictionHigh",102845335.783799,67606185.2986228,160579964.214662
"588","Campylobacter","Campylobacteriosis","5-64","TotalFrictionLow",72045118.8498097,48724532.9882028,109486632.114405
"589","Campylobacter","Campylobacteriosis","65+","GPSpecialist",738361.120018074,403699.619389776,1312519.87133228
"590","Campylobacter","Campylobacteriosis","65+","ED",2222471.61832912,1007899.6743201,4665994.31966065
"591","Campylobacter","Campylobacteriosis","65+","Medications",1110511.918093,588940.558180583,2036473.40497748
"592","Campylobacter","Campylobacteriosis","65+","Tests",438615.48,438615.48,438615.48
"593","Campylobacter","Campylobacteriosis","65+","Hospitalisation",13813481.6473887,9165682.11346703,19228260.0007235
"594","Campylobacter","Campylobacteriosis","65+","Deaths",8628983.68550612,4150421.0264197,16366926.3940444
"595","Campylobacter","Campylobacteriosis","65+","WTP",7431285.56064216,4590246.97383303,12062053.5785167
"596","Campylobacter","Campylobacteriosis","65+","WTPOngoing",0,0,0
"597","Campylobacter","Campylobacteriosis","65+","HumanCapital",9736002.99660308,3322719.86880102,45337772.8104323
"598","Campylobacter","Campylobacteriosis","65+","FrictionHigh",7788802.39728247,2658175.89504081,36270218.2483459
"599","Campylobacter","Campylobacteriosis","65+","FrictionLow",2920800.89898093,996815.960640305,13601331.8431297
"600","Campylobacter","Campylobacteriosis","65+","TotalHumanCapital",46545802.1937813,32614000.9115653,84250908.4494805
"601","Campylobacter","Campylobacteriosis","65+","TotalFrictionHigh",44537428.9026316,31630757.0393378,75524468.0850475
"602","Campylobacter","Campylobacteriosis","65+","TotalFrictionLow",39230791.3520864,28892022.0529978,55598523.1208705
"603","Campylobacter","Campylobacteriosis","All Ages","GPSpecialist",3741318.33252099,2153738.84090585,6411460.23671375
"604","Campylobacter","Campylobacteriosis","All Ages","ED",11458375.9917907,5939568.18004717,21847061.4420179
"605","Campylobacter","Campylobacteriosis","All Ages","Medications",3155505.47235994,1841090.97190498,5396145.71703736
"606","Campylobacter","Campylobacteriosis","All Ages","Tests",2206881.48,2206881.48,2206881.48
"607","Campylobacter","Campylobacteriosis","All Ages","Hospitalisation",20485198.187185,15330979.2893782,26329549.6461128
"608","Campylobacter","Campylobacteriosis","All Ages","Deaths",17257314.8855756,10624149.2737585,26754914.432758
"609","Campylobacter","Campylobacteriosis","All Ages","WTP",36933723.9408084,22637216.6623625,60260219.5988627
"610","Campylobacter","Campylobacteriosis","All Ages","WTPOngoing",0,0,0
"611","Campylobacter","Campylobacteriosis","All Ages","HumanCapital",80380938.3244276,47085009.2428498,144921748.963828
"612","Campylobacter","Campylobacteriosis","All Ages","FrictionHigh",64304750.6595421,37668007.3942799,115937399.171063
"613","Campylobacter","Campylobacteriosis","All Ages","FrictionLow",24114281.4973283,14125502.772855,43476524.6891485
"614","Campylobacter","Campylobacteriosis","All Ages","TotalHumanCapital",177407207.040284,121968421.607844,274049178.833068
"615","Campylobacter","Campylobacteriosis","All Ages","TotalFrictionHigh",161299889.340118,112302541.60852,245454579.941078
"616","Campylobacter","Campylobacteriosis","All Ages","TotalFrictionLow",121005450.531808,87765084.395331,174434112.549233
"617","Campylobacter","ReactiveArthritis","<5","GPSpecialist",100376.037073592,46623.810552825,202301.695009165
"618","Campylobacter","ReactiveArthritis","<5","ED",0,0,0
"619","Campylobacter","ReactiveArthritis","<5","Medications",154722.759521269,51189.8444446551,471790.543634015
"620","Campylobacter","ReactiveArthritis","<5","Tests",89516.9495959861,40500.2671424371,187574.066685144
"621","Campylobacter","ReactiveArthritis","<5","Hospitalisation",344826.577307325,159443.25894635,616912.00343849
"622","Campylobacter","ReactiveArthritis","<5","Deaths",58054.1114298543,509.876339210219,567213.510980837
"623","Campylobacter","ReactiveArthritis","<5","WTP",1367686.56110529,631922.822728621,2780964.6053444
"624","Campylobacter","ReactiveArthritis","<5","WTPOngoing",467678.028713344,203548.845342852,1006385.52776741
"625","Campylobacter","ReactiveArthritis","<5","HumanCapital",3922896.22966193,1829503.33742117,7856994.19860449
"626","Campylobacter","ReactiveArthritis","<5","FrictionHigh",3138316.98372955,1463602.66993694,6285595.35888359
"627","Campylobacter","ReactiveArthritis","<5","FrictionLow",1176868.86889858,548851.001226351,2357098.25958135
"628","Campylobacter","ReactiveArthritis","<5","TotalHumanCapital",6646525.99907756,3190152.47388266,12984585.9429049
"629","Campylobacter","ReactiveArthritis","<5","TotalFrictionHigh",5862360.29126087,2820949.34021071,11423485.1875501
"630","Campylobacter","ReactiveArthritis","<5","TotalFrictionLow",3895305.43634029,1891171.47261839,7525273.50444911
"631","Campylobacter","ReactiveArthritis","5-64","GPSpecialist",721593.075736426,335033.891854606,1455983.78464128
"632","Campylobacter","ReactiveArthritis","5-64","ED",0,0,0
"633","Campylobacter","ReactiveArthritis","5-64","Medications",1115479.07648647,369093.104005414,3358826.08667727
"634","Campylobacter","ReactiveArthritis","5-64","Tests",644310.46610615,291332.7208991,1343164.69590548
"635","Campylobacter","ReactiveArthritis","5-64","Hospitalisation",2686675.80301263,1527633.2624802,4254571.41963554
"636","Campylobacter","ReactiveArthritis","5-64","Deaths",82112.07107141,675.458031399526,746337.774460368
"637","Campylobacter","ReactiveArthritis","5-64","WTP",9826694.53699995,4540303.84337078,19980959.43331
"638","Campylobacter","ReactiveArthritis","5-64","WTPOngoing",3355338.03243127,1462138.4659032,7227671.23712027
"639","Campylobacter","ReactiveArthritis","5-64","HumanCapital",33130473.5713917,15450908.8236648,66355550.4423518
"640","Campylobacter","ReactiveArthritis","5-64","FrictionHigh",26504378.8571134,12360727.0589319,53084440.3538814
"641","Campylobacter","ReactiveArthritis","5-64","FrictionLow",9939142.07141752,4635272.64709945,19906665.1327055
"642","Campylobacter","ReactiveArthritis","5-64","TotalHumanCapital",52082564.3569819,25219544.5117249,101903112.028086
"643","Campylobacter","ReactiveArthritis","5-64","TotalFrictionHigh",45445289.0860845,22120694.9675006,88682490.6905777
"644","Campylobacter","ReactiveArthritis","5-64","TotalFrictionLow",28862822.9336609,14340096.7560359,55556111.6906501
"645","Campylobacter","ReactiveArthritis","65+","GPSpecialist",204047.318923357,94458.5694456631,411299.107696215
"646","Campylobacter","ReactiveArthritis","65+","ED",0,0,0
"647","Campylobacter","ReactiveArthritis","65+","Medications",314756.894742639,104581.826669464,960812.358183461
"648","Campylobacter","ReactiveArthritis","65+","Tests",181952.907458704,81972.1669574282,381026.960837883
"649","Campylobacter","ReactiveArthritis","65+","Hospitalisation",719847.902267775,421191.76310348,1121610.43214114
"650","Campylobacter","ReactiveArthritis","65+","Deaths",109792.333746769,903.408856765318,988539.740954567
"651","Campylobacter","ReactiveArthritis","65+","WTP",2776747.86409305,1282962.33814369,5646057.9109353
"652","Campylobacter","ReactiveArthritis","65+","WTPOngoing",948208.613936377,412545.623192224,2057093.02454819
"653","Campylobacter","ReactiveArthritis","65+","HumanCapital",3848821.10866592,1794957.25892504,7708632.43682097
"654","Campylobacter","ReactiveArthritis","65+","FrictionHigh",3079056.88693274,1435965.80714003,6166905.94945677
"655","Campylobacter","ReactiveArthritis","65+","FrictionLow",1154646.33259978,538487.177677512,2312589.73104629
"656","Campylobacter","ReactiveArthritis","65+","TotalHumanCapital",9348606.47799802,4659985.14534382,17981815.6889048
"657","Campylobacter","ReactiveArthritis","65+","TotalFrictionHigh",8578616.68188355,4292455.89582266,16440040.5076794
"658","Campylobacter","ReactiveArthritis","65+","TotalFrictionLow",6649719.28593868,3376527.37360346,12624971.5821519
"659","Campylobacter","ReactiveArthritis","All Ages","GPSpecialist",1027166.02181172,477841.904633494,2063543.65394732
"660","Campylobacter","ReactiveArthritis","All Ages","ED",0,0,0
"661","Campylobacter","ReactiveArthritis","All Ages","Medications",1688926.16471814,648447.311088509,4336984.66201324
"662","Campylobacter","ReactiveArthritis","All Ages","Tests",921741.857081815,422979.529322873,1882669.64108476
"663","Campylobacter","ReactiveArthritis","All Ages","Hospitalisation",3807888.42009957,2328472.15924415,5568063.91108605
"664","Campylobacter","ReactiveArthritis","All Ages","Deaths",435552.356313555,61221.6231269568,1624239.38874962
"665","Campylobacter","ReactiveArthritis","All Ages","WTP",13971128.9621983,6455189.00424309,28407981.9495897
"666","Campylobacter","ReactiveArthritis","All Ages","WTPOngoing",4803191.17658742,2139241.9642421,10135981.4090059
"667","Campylobacter","ReactiveArthritis","All Ages","HumanCapital",40902190.9097196,19075369.420011,81921177.0777772
"668","Campylobacter","ReactiveArthritis","All Ages","FrictionHigh",32721752.7277757,15260295.5360088,65536941.6622218
"669","Campylobacter","ReactiveArthritis","All Ages","FrictionLow",12270657.2729159,5722610.82600331,24576353.1233332
"670","Campylobacter","ReactiveArthritis","All Ages","TotalHumanCapital",68091798.3262134,33125323.2730651,132810073.006698
"671","Campylobacter","ReactiveArthritis","All Ages","TotalFrictionHigh",59905182.5936328,29318373.0736008,116451912.674655
"672","Campylobacter","ReactiveArthritis","All Ages","TotalFrictionLow",39419289.8942137,19712992.4035631,75579151.3773973
"673","Campylobacter","IBS","<5","GPSpecialist",526319.922731982,312445.158807431,887077.109881321
"674","Campylobacter","IBS","<5","ED",0,0,0
"675","Campylobacter","IBS","<5","Medications",65780.7766227582,39033.7246843985,110713.86502637
"676","Campylobacter","IBS","<5","Tests",429018.152336318,254796.233471142,721130.110760633
"677","Campylobacter","IBS","<5","Hospitalisation",5145.31453815046,2330.45368788228,12659.2865299639
"678","Campylobacter","IBS","<5","Deaths",18751.0178946402,156.510929154166,201927.532552502
"679","Campylobacter","IBS","<5","WTP",1146788.99581776,636201.681537381,2036651.73362103
"680","Campylobacter","IBS","<5","WTPOngoing",1511200.29080051,538961.03103565,3459332.75625288
"681","Campylobacter","IBS","<5","HumanCapital",2324093.99152473,1380015.7388489,3904602.94415655
"682","Campylobacter","IBS","<5","FrictionHigh",1859275.19321979,1104012.59107912,3123682.35532524
"683","Campylobacter","IBS","<5","FrictionLow",697228.19745742,414004.721654669,1171380.88324697
"684","Campylobacter","IBS","<5","TotalHumanCapital",6115795.97789119,3488586.52248039,10704353.1832282
"685","Campylobacter","IBS","<5","TotalFrictionHigh",5649050.90722244,3197507.62379573,9953002.21035538
"686","Campylobacter","IBS","<5","TotalFrictionLow",4475692.07455618,2459910.84013997,8096317.9399756
"687","Campylobacter","IBS","5-64","GPSpecialist",3781224.55977726,2241928.1897109,6370792.74336219
"688","Campylobacter","IBS","5-64","ED",0,0,0
"689","Campylobacter","IBS","5-64","Medications",472706.796512918,280657.480647927,795417.37682214
"690","Campylobacter","IBS","5-64","Tests",3592362.37675747,2120431.40061389,6076396.91180746
"691","Campylobacter","IBS","5-64","Hospitalisation",3473173.23577468,1658349.33491883,8308271.98864801
